seq_id,feature_type,start,end,strand,geneid,locus_tag,gene,protein_id,product,normalized_label,normalized_quality,go_terms,go_bp,go_mf,go_cc,goslim_terms
NP_414819.1,CDS,300931,301887,-,945710,b0285,paoB,NP_414819.1,"aldehyde dehydrogenase, FAD-binding subunit",dehydrogenase,low,GO:0005515;GO:0016491;GO:0016903;GO:0030288;GO:0042597;GO:0046872;GO:0047770;GO:0050660;GO:0051536;GO:0051539;GO:0071949;GO:0110095;GO:1990204,GO:0110095,GO:0005515;GO:0016491;GO:0016903;GO:0046872;GO:0047770;GO:0050660;GO:0051536;GO:0051539;GO:0071949,GO:0030288;GO:0042597;GO:1990204,GO:0003824;GO:0016491;GO:0098754
NP_414820.1,CDS,301884,302573,-,945330,b0286,paoA,NP_414820.1,"aldehyde dehydrogenase, Fe-S subunit",dehydrogenase,low,GO:0005515;GO:0016491;GO:0016903;GO:0030288;GO:0042597;GO:0046872;GO:0047770;GO:0051536;GO:0051537;GO:0110095;GO:1990204,GO:0110095,GO:0005515;GO:0016491;GO:0016903;GO:0046872;GO:0047770;GO:0051536;GO:0051537,GO:0030288;GO:0042597;GO:1990204,GO:0003824;GO:0016491;GO:0098754
NP_414821.1,CDS,302991,303605,+,945677,b0287,yagU,NP_414821.1,DUF1440 domain-containing inner membrane proteinYagU,membrane_protein,low,GO:0005886;GO:0010447,GO:0010447,,GO:0005886,GO:0005886
NP_414822.1,CDS,303853,304182,-,945905,b0288,ykgJ,NP_414822.1,putative metal-chelating domain-containing protein YkgJ,low_info,low,GO:0046872;GO:0051536,,GO:0046872;GO:0051536,,
NP_414823.2,CDS,304495,305205,-,946631,b0289,ecpE,NP_414823.2,putative fimbrial chaperone EcpE,low_info,low,,,,,
NP_414824.1,CDS,305174,306817,-,947349,b0290,ecpD,NP_414824.1,fimbrial adhesin EcpD,pili_fimbriae,high,GO:0009289,,,GO:0009289,
NP_414825.1,CDS,306807,309332,-,947606,b0291,ecpC,NP_414825.1,putative fimbrial usher protein EcpC,low_info,low,GO:0005515,,GO:0005515,,
NP_414826.1,CDS,309358,310026,-,948806,b0292,ecpB,NP_414826.1,putative fimbrial chaperone EcpB,low_info,low,GO:0005515,,GO:0005515,,
NP_414827.1,CDS,310084,310671,-,948759,b0293,ecpA,NP_414827.1,common pilus major subunit,pili_fimbriae,high,GO:0009289,,,GO:0009289,
NP_414828.1,CDS,310746,311336,-,944966,b0294,matA,NP_414828.1,DNA-binding transcriptional dual regulator MatA,dna_binding,medium,GO:0003677;GO:0005667;GO:0005737;GO:0006355;GO:1902021,GO:0006355;GO:1902021,GO:0003677,GO:0005667;GO:0005737,GO:0003677;GO:0006355
NP_414829.1,CDS,312112,312339,+,944962,b0295,ykgL,NP_414829.1,uncharacterized protein YkgL,low_info,low,,,,,
NP_414830.1,CDS,312514,312777,-,944960,b0296,ykgM,NP_414830.1,50S ribosomal subunit protein L31B,other,low,GO:0002181;GO:0003735;GO:0005737;GO:0005840;GO:0006412;GO:0022625;GO:0034224;GO:1990904,GO:0002181;GO:0006412;GO:0034224,GO:0003735,GO:0005737;GO:0005840;GO:0022625;GO:1990904,GO:0002181;GO:0005198;GO:0005829;GO:0005840;GO:0043226
b0297,gene,314357,315244,+,944957,b0297,eaeH,,,unknown,low,GO:0009279,,,GO:0009279,GO:0030312
NP_414832.2,CDS,315291,315590,+,944952,b0298,insE1,NP_414832.2,IS3 element protein InsE,other,low,GO:0003677;GO:0004803;GO:0006310;GO:0006313;GO:0032196,GO:0006310;GO:0006313;GO:0032196,GO:0003677;GO:0004803,,GO:0003677;GO:0003824;GO:0006310;GO:0140097
NP_414833.1,CDS,315587,316453,+,944948,b0299,insF1,NP_414833.1,IS3 element protein InsF,other,low,GO:0003676;GO:0003677;GO:0006310;GO:0015074;GO:0032196,GO:0006310;GO:0015074;GO:0032196,GO:0003676;GO:0003677,,GO:0003677;GO:0006310
b0300,gene,316450,317136,-,944956,b0300,ykgA,,,unknown,low,GO:0001108;GO:0005829;GO:0006355;GO:0043565,GO:0006355,GO:0001108;GO:0043565,GO:0005829,GO:0003677;GO:0005829;GO:0006355
NP_414835.2,CDS,317726,318319,-,944974,b0301,rclC,NP_414835.2,DUF417 domain-containing inner membrane protein RclC,membrane_protein,low,GO:0005886;GO:1901530,GO:1901530,,GO:0005886,GO:0005886
NP_414837.2,CDS,318331,318567,-,945658,b0303,rclB,NP_414837.2,DUF1471 domain-containing protein RclB,other,low,GO:0006950;GO:0042597;GO:1901530,GO:0006950;GO:1901530,,GO:0042597,
NP_414838.2,CDS,318676,320001,-,946092,b0304,rclA,NP_414838.2,cupric reductase RclA,reductase,low,GO:0003955;GO:0006979;GO:0008823;GO:0016491;GO:0016651;GO:0016668;GO:0042803;GO:0050660;GO:1901530,GO:0006979;GO:1901530,GO:0003955;GO:0008823;GO:0016491;GO:0016651;GO:0016668;GO:0042803;GO:0050660,,GO:0003824;GO:0016491
NP_414839.1,CDS,320227,321081,+,945616,b0305,rclR,NP_414839.1,DNA-binding transcriptional activator RclR,transcriptional_regulator,high,GO:0000976;GO:0001216;GO:0003677;GO:0003700;GO:0006355;GO:0043565;GO:0045893;GO:0090347,GO:0006355;GO:0045893;GO:0090347,GO:0000976;GO:0001216;GO:0003677;GO:0003700;GO:0043565,,GO:0003677;GO:0006355;GO:0140110
NP_414840.1,CDS,321608,322327,+,948438,b0306,ykgE,NP_414840.1,putative lactate utilization oxidoreductase YkgE,low_info,low,GO:0004459;GO:0005829;GO:0016491,,GO:0004459;GO:0016491,GO:0005829,GO:0003824;GO:0005829;GO:0016491
NP_414841.1,CDS,322338,323765,+,944980,b0307,ykgF,NP_414841.1,putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,low_info,low,GO:0004459;GO:0006089;GO:0046872;GO:0051536;GO:0051539;GO:1903457,GO:0006089;GO:1903457,GO:0004459;GO:0046872;GO:0051536;GO:0051539,,GO:0003824;GO:0016491
NP_414842.4,CDS,323758,324453,+,945906,b0308,ykgG,NP_414842.4,DUF162 domain-containing lactate utilization protein YkgG,other,low,GO:0004459;GO:0005829,,GO:0004459,GO:0005829,GO:0003824;GO:0005829;GO:0016491
NP_414844.1,CDS,324696,325364,-,947513,b0310,ykgH,NP_414844.1,uncharacterized protein YkgH,low_info,low,GO:0005886,,,GO:0005886,GO:0005886
NP_414845.1,CDS,325577,327247,-,945716,b0311,betA,NP_414845.1,choline dehydrogenase,dehydrogenase,low,GO:0005886;GO:0006970;GO:0008802;GO:0008812;GO:0016020;GO:0016491;GO:0016614;GO:0019285;GO:0050660,GO:0006970;GO:0019285,GO:0008802;GO:0008812;GO:0016491;GO:0016614;GO:0050660,GO:0005886;GO:0016020,GO:0003824;GO:0005886;GO:0006575;GO:0016491
NP_414846.1,CDS,327261,328733,-,947376,b0312,betB,NP_414846.1,betaine aldehyde dehydrogenase,dehydrogenase,low,GO:0005829;GO:0006970;GO:0008802;GO:0010165;GO:0016491;GO:0016620;GO:0019285;GO:0032991;GO:0042802;GO:0046872;GO:0051289,GO:0006970;GO:0010165;GO:0019285;GO:0051289,GO:0008802;GO:0016491;GO:0016620;GO:0042802;GO:0046872,GO:0005829;GO:0032991,GO:0003824;GO:0005829;GO:0006575;GO:0016491;GO:0065003
NP_414847.3,CDS,328747,329334,-,944981,b0313,betI,NP_414847.3,DNA-binding transcriptional repressor BetI,transcriptional_regulator,high,GO:0000976;GO:0003677;GO:0003700;GO:0006355;GO:0006970;GO:0019285;GO:0045892,GO:0006355;GO:0006970;GO:0019285;GO:0045892,GO:0000976;GO:0003677;GO:0003700,,GO:0003677;GO:0006355;GO:0006575;GO:0140110
NP_414848.1,CDS,329463,331496,+,945079,b0314,betT,NP_414848.1,choline:H(+) symporter,transporter,medium,GO:0005886;GO:0006974;GO:0015220;GO:0015871;GO:0016020;GO:0019285;GO:0022857;GO:0055085,GO:0006974;GO:0015871;GO:0019285;GO:0055085,GO:0015220;GO:0022857,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0006575;GO:0055085
NP_414849.1,CDS,332371,333459,+,947459,b0315,pdeL,NP_414849.1,DNA-binding transcriptional regulator/c-di-GMP phosphodiesterase PdeL,transcriptional_regulator,high,GO:0000976;GO:0003677;GO:0005886;GO:0006355;GO:0016787;GO:0042803;GO:0045893;GO:0046872;GO:0071111;GO:1900190,GO:0006355;GO:0045893;GO:1900190,GO:0000976;GO:0003677;GO:0016787;GO:0042803;GO:0046872;GO:0071111,GO:0005886,GO:0003677;GO:0003824;GO:0005886;GO:0006355;GO:0016787
NP_414850.1,CDS,333501,334433,-,945278,b0316,yahB,NP_414850.1,putative LysR-type DNA-binding transcriptional regulator YahB,low_info,low,GO:0000976;GO:0003677;GO:0003700;GO:0005515;GO:0006355,GO:0006355,GO:0000976;GO:0003677;GO:0003700;GO:0005515,,GO:0003677;GO:0006355;GO:0140110
NP_414851.1,CDS,334525,335022,-,947337,b0317,yahC,NP_414851.1,uncharacterized protein YahC,low_info,low,GO:0005886,,,GO:0005886,GO:0005886
NP_414852.1,CDS,335280,335885,+,947681,b0318,yahD,NP_414852.1,ankyrin repeat-containing protein YahD,other,low,GO:0009314,GO:0009314,,,
NP_414853.1,CDS,335925,336788,+,947134,b0319,yahE,NP_414853.1,DUF2877 domain-containing protein YahE,other,low,,,,,
NP_414854.1,CDS,336778,338325,+,947298,b0320,yahF,NP_414854.1,putative acyl-CoA synthetase YahF,low_info,low,GO:0003824;GO:0004775;GO:0004776;GO:0005829;GO:0006099;GO:0009361,GO:0006099,GO:0003824;GO:0004775;GO:0004776,GO:0005829;GO:0009361,GO:0003824;GO:0005829;GO:0006091;GO:0016874
NP_414855.1,CDS,338325,339743,+,945379,b0321,yahG,NP_414855.1,DUF1116 domain-containing protein YahG,other,low,,,,,
YP_009518748.2,CDS,339769,340089,+,945035,b0322,yahH,YP_009518748.2,putative uncharacterized protein YahH,low_info,low,,,,,
NP_414857.1,CDS,340165,341115,+,944984,b0323,yahI,NP_414857.1,carbamate kinase-like protein YahI,kinase,medium,GO:0005829;GO:0006525;GO:0008804;GO:0016301;GO:0016740;GO:0019546,GO:0006525;GO:0019546,GO:0008804;GO:0016301;GO:0016740,GO:0005829,GO:0003824;GO:0005829;GO:0006520;GO:0016740
NP_414858.1,CDS,341125,342507,+,944976,b0324,yahJ,NP_414858.1,amidohydrolase family protein YahJ,hydrolase,low,GO:0016810;GO:0016814,,GO:0016810;GO:0016814,,GO:0003824;GO:0016787
NP_414859.1,CDS,342884,343933,+,944975,b0325,yahK,NP_414859.1,"aldehyde reductase, NADPH-dependent",reductase,low,GO:0008106;GO:0008270;GO:0016491;GO:0016616;GO:0046872,,GO:0008106;GO:0008270;GO:0016491;GO:0016616;GO:0046872,,GO:0003824;GO:0016491
NP_414860.1,CDS,344176,344991,+,944970,b0326,yahL,NP_414860.1,uncharacterized protein YahL,low_info,low,,,,,
NP_414861.2,CDS,345404,345649,+,944969,b0327,yahM,NP_414861.2,uncharacterized protein YahM,low_info,low,,,,,
NP_414862.1,CDS,345666,346337,-,944968,b0328,yahN,NP_414862.1,putative amino acid exporter YahN,low_info,low,GO:0003333;GO:0005886;GO:0006865;GO:0015171;GO:0016020,GO:0003333;GO:0006865,GO:0015171,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0055085
NP_414863.1,CDS,346484,346759,+,944985,b0329,yahO,NP_414863.1,DUF1471 domain-containing protein YahO,other,low,GO:0006950;GO:0009314;GO:0042597,GO:0006950;GO:0009314,,GO:0042597,
NP_414864.1,CDS,346857,348443,-,944987,b0330,prpR,NP_414864.1,DNA-binding transcriptional dual regulator PrpR,dna_binding,medium,GO:0000156;GO:0000160;GO:0000166;GO:0000987;GO:0001216;GO:0003677;GO:0003700;GO:0005524;GO:0005737;GO:0006355;GO:0009314;GO:0019629;GO:0032993;GO:0043565;GO:0045892;GO:0045893,GO:0000160;GO:0006355;GO:0009314;GO:0019629;GO:0045892;GO:0045893,GO:0000156;GO:0000166;GO:0000987;GO:0001216;GO:0003677;GO:0003700;GO:0005524;GO:0043565,GO:0005737;GO:0032993,GO:0003677;GO:0006355;GO:0006629;GO:0023052;GO:0060089;GO:0140110
NP_414865.1,CDS,348682,349572,+,944990,b0331,prpB,NP_414865.1,2-methylisocitrate lyase,other,low,GO:0000287;GO:0003824;GO:0016829;GO:0019629;GO:0046421;GO:0046872,GO:0019629,GO:0000287;GO:0003824;GO:0016829;GO:0046421;GO:0046872,,GO:0003824;GO:0006629;GO:0016829
NP_414867.1,CDS,350012,351181,+,947528,b0333,prpC,NP_414867.1,2-methylcitrate synthase,synthase,low,GO:0005737;GO:0005975;GO:0006099;GO:0016740;GO:0019679;GO:0036440;GO:0042803;GO:0046912;GO:0050440,GO:0005975;GO:0006099;GO:0019679,GO:0016740;GO:0036440;GO:0042803;GO:0046912;GO:0050440,GO:0005737,GO:0003824;GO:0005975;GO:0006091;GO:0006629;GO:0016740
NP_414868.1,CDS,351215,352666,+,945931,b0334,prpD,NP_414868.1,2-methylcitrate dehydratase,other,low,GO:0003994;GO:0006099;GO:0016829;GO:0019541;GO:0019679;GO:0047547;GO:0051537,GO:0006099;GO:0019541;GO:0019679,GO:0003994;GO:0016829;GO:0047547;GO:0051537,,GO:0003824;GO:0006091;GO:0006629;GO:0016829
NP_414869.1,CDS,352706,354592,+,946891,b0335,prpE,NP_414869.1,propionyl-CoA synthetase,synthase,low,GO:0000166;GO:0005524;GO:0016874;GO:0019629;GO:0050218,GO:0019629,GO:0000166;GO:0005524;GO:0016874;GO:0050218,,GO:0003824;GO:0006629;GO:0016874;GO:0140657
NP_414870.1,CDS,354922,356181,+,944994,b0336,codB,NP_414870.1,cytosine transporter,transporter,medium,GO:0005886;GO:0015209;GO:0015295;GO:0015856;GO:0016020;GO:0019858;GO:0022857;GO:0055085;GO:1902600,GO:0015856;GO:0019858;GO:0055085;GO:1902600,GO:0015209;GO:0015295;GO:0022857,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0055085;GO:0055086
NP_414871.1,CDS,356171,357454,+,944996,b0337,codA,NP_414871.1,cytosine/isoguanine deaminase,other,low,GO:0004131;GO:0005829;GO:0006209;GO:0008198;GO:0008270;GO:0016787;GO:0016810;GO:0016814;GO:0019239;GO:0019858;GO:0035888;GO:0042802;GO:0046872,GO:0006209;GO:0019858,GO:0004131;GO:0008198;GO:0008270;GO:0016787;GO:0016810;GO:0016814;GO:0019239;GO:0035888;GO:0042802;GO:0046872,GO:0005829,GO:0003824;GO:0005829;GO:0016787;GO:0055086
NP_414872.3,CDS,357791,358690,-,945001,b0338,cynR,NP_414872.3,DNA-binding transcriptional dual regulator CynR,dna_binding,medium,GO:0003677;GO:0003700;GO:0005737;GO:0006355;GO:0032993,GO:0006355,GO:0003677;GO:0003700,GO:0005737;GO:0032993,GO:0003677;GO:0006355;GO:0140110
NP_414873.1,CDS,358799,359458,+,946548,b0339,cynT,NP_414873.1,carbonic anhydrase 1,other,low,GO:0004089;GO:0005737;GO:0008270;GO:0009440;GO:0015976;GO:0016829;GO:0042802;GO:0046872,GO:0009440;GO:0015976,GO:0004089;GO:0008270;GO:0016829;GO:0042802;GO:0046872,GO:0005737,GO:0003824;GO:0016829
NP_414874.1,CDS,359489,359959,+,948998,b0340,cynS,NP_414874.1,cyanase,other,low,GO:0003677;GO:0008824;GO:0009440;GO:0016829,GO:0009440,GO:0003677;GO:0008824;GO:0016829,,GO:0003677;GO:0003824;GO:0016829
NP_414875.1,CDS,359992,361146,+,946770,b0341,cynX,NP_414875.1,cyanate transporter,transporter,medium,GO:0005886;GO:0009440;GO:0016020;GO:0022857;GO:0055085,GO:0009440;GO:0055085,GO:0022857,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0055085
NP_414876.1,CDS,361249,361860,-,945674,b0342,lacA,NP_414876.1,galactoside O-acetyltransferase,acetyltransferase,medium,GO:0005737;GO:0005989;GO:0008870;GO:0016407;GO:0016413;GO:0016740;GO:0016746;GO:0042802,GO:0005989,GO:0008870;GO:0016407;GO:0016413;GO:0016740;GO:0016746;GO:0042802,GO:0005737,GO:0003824;GO:0005975;GO:0016740
NP_414877.1,CDS,361926,363179,-,949083,b0343,lacY,NP_414877.1,lactose permease,transporter,medium,GO:0005351;GO:0005515;GO:0005886;GO:0008643;GO:0015293;GO:0015528;GO:0015767;GO:0016020;GO:0022857;GO:0030395;GO:0034219;GO:0055085;GO:1902600,GO:0008643;GO:0015767;GO:0034219;GO:0055085;GO:1902600,GO:0005351;GO:0005515;GO:0015293;GO:0015528;GO:0022857;GO:0030395,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0055085
NP_414878.1,CDS,363231,366305,-,945006,b0344,lacZ,NP_414878.1,beta-galactosidase,other,low,GO:0000287;GO:0003824;GO:0004553;GO:0004565;GO:0005975;GO:0005990;GO:0009341;GO:0016787;GO:0016798;GO:0030246;GO:0031420;GO:0042802;GO:0046872,GO:0005975;GO:0005990,GO:0000287;GO:0003824;GO:0004553;GO:0004565;GO:0016787;GO:0016798;GO:0030246;GO:0031420;GO:0042802;GO:0046872,GO:0009341,GO:0003824;GO:0005975;GO:0016787
NP_414879.3,CDS,366428,367510,-,945007,b0345,lacI,NP_414879.3,DNA-binding transcriptional repressor LacI,transcriptional_regulator,high,GO:0000976;GO:0000987;GO:0001217;GO:0003677;GO:0003700;GO:0005829;GO:0006355;GO:0042802;GO:0045892,GO:0006355;GO:0045892,GO:0000976;GO:0000987;GO:0001217;GO:0003677;GO:0003700;GO:0042802,GO:0005829,GO:0003677;GO:0005829;GO:0006355;GO:0140110
NP_414880.2,CDS,367587,368420,-,945938,b0346,mhpR,NP_414880.2,DNA-binding transcriptional activator MhpR,transcriptional_regulator,high,GO:0003677;GO:0003700;GO:0006355;GO:0045892,GO:0006355;GO:0045892,GO:0003677;GO:0003700,,GO:0003677;GO:0006355;GO:0140110
NP_414881.1,CDS,368611,370275,+,945197,b0347,mhpA,NP_414881.1,3-(3-hydroxyphenyl)propanoate hydroxylase,other,low,GO:0008688;GO:0016491;GO:0019380;GO:0019622;GO:0042802;GO:0071949,GO:0019380;GO:0019622,GO:0008688;GO:0016491;GO:0042802;GO:0071949,,GO:0003824;GO:0016491
NP_414882.1,CDS,370277,371221,+,945047,b0348,mhpB,NP_414882.1,"3-carboxyethylcatechol 2,3-dioxygenase",other,low,GO:0005506;GO:0008198;GO:0016491;GO:0016702;GO:0019380;GO:0019622;GO:0046271;GO:0047070;GO:0051213,GO:0019380;GO:0019622;GO:0046271,GO:0005506;GO:0008198;GO:0016491;GO:0016702;GO:0047070;GO:0051213,,GO:0003824;GO:0016491
NP_414883.5,CDS,371239,372105,+,944954,b0349,mhpC,NP_414883.5,"2-hydroxy-6-ketonona-2,4-dienedioate hydrolase",hydrolase,low,GO:0003824;GO:0005737;GO:0016787;GO:0018771;GO:0019380;GO:0019622;GO:0042803;GO:0052823,GO:0019380;GO:0019622,GO:0003824;GO:0016787;GO:0018771;GO:0042803;GO:0052823,GO:0005737,GO:0003824;GO:0016787
NP_414884.2,CDS,372115,372924,+,944768,b0350,mhpD,NP_414884.2,2-hydroxypentadienoate hydratase,other,low,GO:0003824;GO:0005737;GO:0008684;GO:0016829;GO:0019380;GO:0030145;GO:0042802,GO:0019380,GO:0003824;GO:0008684;GO:0016829;GO:0030145;GO:0042802,GO:0005737,GO:0003824;GO:0016829
NP_414885.1,CDS,372921,373871,+,945008,b0351,mhpF,NP_414885.1,acetaldehyde dehydrogenase (acetylating) MhpF,dehydrogenase,low,GO:0005515;GO:0008774;GO:0016491;GO:0016620;GO:0019380;GO:0051287,GO:0019380,GO:0005515;GO:0008774;GO:0016491;GO:0016620;GO:0051287,,GO:0003824;GO:0016491
NP_414886.1,CDS,373868,374881,+,945012,b0352,mhpE,NP_414886.1,4-hydroxy-2-oxovalerate aldolase,other,low,GO:0003824;GO:0003852;GO:0005515;GO:0008701;GO:0009098;GO:0016829;GO:0016833;GO:0019380;GO:0030145;GO:0046872,GO:0009098;GO:0019380,GO:0003824;GO:0003852;GO:0005515;GO:0008701;GO:0016829;GO:0016833;GO:0030145;GO:0046872,,GO:0003824;GO:0006520;GO:0016740;GO:0016829
NP_414887.2,CDS,375459,376670,+,944997,b0353,mhpT,NP_414887.2,3-hydroxyphenylpropionate/3- hydroxycinnamate:H(+) symporter,transporter,medium,GO:0005886;GO:0015293;GO:0015540;GO:0015731;GO:0016020;GO:0022857;GO:0042920;GO:0055085,GO:0015731;GO:0042920;GO:0055085,GO:0015293;GO:0015540;GO:0022857,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0055085
NP_414888.4,CDS,376772,377311,+,944993,b0354,yaiL,NP_414888.4,DUF2058 domain-containing protein YaiL,other,low,GO:0005829,,,GO:0005829,GO:0005829
NP_414889.1,CDS,377535,378368,-,944991,b0355,frmB,NP_414889.1,S-formylglutathione hydrolase FrmB,hydrolase,low,GO:0005829;GO:0016787;GO:0018738;GO:0046292;GO:0046294;GO:0052689,GO:0046292;GO:0046294,GO:0016787;GO:0018738;GO:0052689,GO:0005829,GO:0003824;GO:0005829;GO:0016787;GO:0098754
NP_414890.1,CDS,378462,379571,-,944988,b0356,frmA,NP_414890.1,S-(hydroxymethyl)glutathione dehydrogenase,dehydrogenase,low,GO:0004022;GO:0005737;GO:0005829;GO:0008270;GO:0016491;GO:0016616;GO:0042802;GO:0044281;GO:0046294;GO:0046872;GO:0051903;GO:0080007;GO:0106321;GO:0106322,GO:0044281;GO:0046294,GO:0004022;GO:0008270;GO:0016491;GO:0016616;GO:0042802;GO:0046872;GO:0051903;GO:0080007;GO:0106321;GO:0106322,GO:0005737;GO:0005829,GO:0003824;GO:0005829;GO:0016491;GO:0098754
NP_414891.4,CDS,379606,379881,-,944986,b0357,frmR,NP_414891.4,DNA-binding transcriptional repressor FrmR,transcriptional_regulator,high,GO:0000976;GO:0001217;GO:0003677;GO:0005737;GO:0006355;GO:0032993;GO:0045892;GO:0046872,GO:0006355;GO:0045892,GO:0000976;GO:0001217;GO:0003677;GO:0046872,GO:0005737;GO:0032993,GO:0003677;GO:0006355;GO:0140110
NP_414892.1,CDS,380069,380842,-,945014,b0358,yaiO,NP_414892.1,outer membrane protein YaiO,membrane_protein,low,GO:0009279,,,GO:0009279,GO:0030312
NP_414894.2,CDS,381351,381716,+,945025,b0360,insC1,NP_414894.2,IS2 element protein InsA,other,low,GO:0003677;GO:0004803;GO:0006310;GO:0006313;GO:0032196,GO:0006310;GO:0006313;GO:0032196,GO:0003677;GO:0004803,,GO:0003677;GO:0003824;GO:0006310;GO:0140097
NP_414895.1,CDS,381674,382579,+,945203,b0361,insD1,NP_414895.1,IS2 element protein,other,low,GO:0003676;GO:0003677;GO:0006310;GO:0015074;GO:0032196,GO:0006310;GO:0015074;GO:0032196,GO:0003676;GO:0003677,,GO:0003677;GO:0006310
NP_414897.1,CDS,382739,383935,-,945308,b0363,yaiP,NP_414897.1,putative glucosyltransferase,low_info,low,GO:0006974;GO:0016740;GO:0016757;GO:0016874,GO:0006974,GO:0016740;GO:0016757;GO:0016874,,GO:0003824;GO:0016740;GO:0016874
NP_414898.4,CDS,384059,384616,-,946967,b0364,yaiS,NP_414898.4,putative deacetylase YaiS,low_info,low,GO:0016787;GO:0016811,,GO:0016787;GO:0016811,,GO:0003824;GO:0016787
NP_414899.2,CDS,385232,386194,+,945030,b0365,tauA,NP_414899.2,taurine ABC transporter periplasmic binding protein,abc_transporter,high,GO:0009970;GO:0010438;GO:0015734;GO:0016020;GO:0022857;GO:0030288;GO:0042597;GO:0043190;GO:0055052;GO:0055085,GO:0009970;GO:0010438;GO:0015734;GO:0055085,GO:0022857,GO:0016020;GO:0030288;GO:0042597;GO:0043190;GO:0055052,GO:0005215;GO:0005886;GO:0055085
NP_414900.1,CDS,386207,386974,+,945027,b0366,tauB,NP_414900.1,taurine ABC transporter ATP binding subunit,abc_transporter,high,GO:0000166;GO:0005524;GO:0005886;GO:0010438;GO:0015411;GO:0015734;GO:0016020;GO:0016887;GO:0042918;GO:0055052,GO:0010438;GO:0015734;GO:0042918,GO:0000166;GO:0005524;GO:0015411;GO:0016887,GO:0005886;GO:0016020;GO:0055052,GO:0003824;GO:0005215;GO:0005886;GO:0016787;GO:0055085;GO:0140657
NP_414901.1,CDS,386971,387798,+,945026,b0367,tauC,NP_414901.1,taurine ABC transporter membrane subunit,abc_transporter,high,GO:0005886;GO:0010438;GO:0015734;GO:0016020;GO:0042918;GO:0055052;GO:0055085,GO:0010438;GO:0015734;GO:0042918;GO:0055085,,GO:0005886;GO:0016020;GO:0055052,GO:0005886;GO:0055085
NP_414902.1,CDS,387795,388646,+,945021,b0368,tauD,NP_414902.1,taurine dioxygenase,other,low,GO:0000908;GO:0005737;GO:0006790;GO:0008198;GO:0016491;GO:0016706;GO:0019529;GO:0031418;GO:0042802;GO:0046872;GO:0051213;GO:0051289;GO:1990205,GO:0006790;GO:0019529;GO:0051289,GO:0000908;GO:0008198;GO:0016491;GO:0016706;GO:0031418;GO:0042802;GO:0046872;GO:0051213,GO:0005737;GO:1990205,GO:0003824;GO:0005829;GO:0006790;GO:0016491;GO:0065003
NP_414903.4,CDS,388753,389727,-,945017,b0369,hemB,NP_414903.4,porphobilinogen synthase,synthase,low,GO:0000287;GO:0003824;GO:0004655;GO:0005829;GO:0006779;GO:0006782;GO:0006783;GO:0008270;GO:0016829;GO:0033014;GO:0046872,GO:0006779;GO:0006782;GO:0006783;GO:0033014,GO:0000287;GO:0003824;GO:0004655;GO:0008270;GO:0016829;GO:0046872,GO:0005829,GO:0003824;GO:0005829;GO:0016829
NP_414906.1,CDS,391739,392605,-,945036,b0372,insF2,NP_414906.1,IS3 element protein InsF,other,low,GO:0003676;GO:0003677;GO:0006310;GO:0015074;GO:0032196,GO:0006310;GO:0015074;GO:0032196,GO:0003676;GO:0003677,,GO:0003677;GO:0006310
NP_414907.2,CDS,392602,392901,-,946900,b0373,insE2,NP_414907.2,IS3 element protein InsE,other,low,GO:0003677;GO:0004803;GO:0006310;GO:0006313;GO:0032196,GO:0006310;GO:0006313;GO:0032196,GO:0003677;GO:0004803,,GO:0003677;GO:0003824;GO:0006310;GO:0140097
NP_414909.2,CDS,394506,395129,+,946902,b0375,iprA,NP_414909.2,putative DNA-binding transcriptional regulator IprA,low_info,low,GO:0006979,GO:0006979,,,
NP_414910.1,CDS,395130,396287,-,946904,b0376,ampH,NP_414910.1,peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase,protease,medium,GO:0004175;GO:0004180;GO:0005886;GO:0006508;GO:0008233;GO:0008360;GO:0008658;GO:0009253;GO:0016787;GO:0071555,GO:0006508;GO:0008360;GO:0009253;GO:0071555,GO:0004175;GO:0004180;GO:0008233;GO:0008658;GO:0016787,GO:0005886,GO:0003824;GO:0005886;GO:0016787;GO:0071554;GO:0140096;GO:1901135
NP_414911.1,CDS,396639,397859,+,946884,b0377,sbmA,NP_414911.1,peptide antibiotic/peptide nucleic acid transporter,transporter,medium,GO:0005524;GO:0005886;GO:0015031;GO:0015291;GO:0015638;GO:0015833;GO:0016020;GO:0042803;GO:0042884;GO:0042885;GO:0046677;GO:0055085;GO:1904680,GO:0015031;GO:0015833;GO:0042884;GO:0042885;GO:0046677;GO:0055085,GO:0005524;GO:0015291;GO:0015638;GO:0042803;GO:1904680,GO:0005886;GO:0016020,GO:0005215;GO:0005886;GO:0055085
NP_414912.1,CDS,397872,398966,+,945038,b0378,yaiW,NP_414912.1,surface-exposed outer membrane lipoprotein,membrane_protein,low,GO:0005829;GO:0031240;GO:1901652,GO:1901652,,GO:0005829;GO:0031240,GO:0005829;GO:0030312
